KODE,NAMA BAHAN,AIR (g),Energi (Kal),Protein (g),LEMAK,KH (g),SERAT,ABU,KALSIUM,FOSFOR,BESI,NATRIUM,KALIUM,TEMBAGA,SENG,RETINOL,B-KAR,KAR-TOTAL,THIAMIN,RIBOFLAVIN,NIASIN,VIT_C,GULA
DB002,MOONCAKE baked lotus paste single egg yolk,0.00,419.15,6.81,23.85,44.23,2.06,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00
DB003,MOONCAKE baked lotus paste double egg yolk,0.00,464.58,8.44,28.73,42.71,1.77,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00
DB004,MOONCAKE red bean paste,0.00,370.00,5.52,14.36,54.28,4.96,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00
DB005,MOONCAKE snow skin lotus,0.00,374.00,4.24,16.08,52.72,2.32,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00
DB006,MOONCAKE mixed nut & ham,0.00,490.00,10.80,30.60,42.76,4.16,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00
DB007,CERES meises cokelat,0.00,444.44,11.11,11.11,72.22,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,44.44
DB008,TANGO wafer cokelat,0.00,473.68,5.26,18.42,73.68,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,26.32
DB009,SAN REMO spaghetti,0.00,365.60,12.00,2.00,72.00,3.04,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,2.48
DB010,SAN REMO wholemeal,0.00,361.60,15.20,3.20,62.40,8.80,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,3.20
DB011,SAN REMO spinach fettucine,0.00,365.60,12.00,2.00,71.20,4.80,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,3.20
DB012,SAN REMO bolognese & mushroom,0.00,61.60,1.68,2.88,6.88,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,3.84
DB013,SAN REMO tomato & basil,0.00,76.80,1.60,3.68,9.20,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,5.92
DB014,SAN REMO napolitana,0.00,57.60,1.12,2.80,6.88,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,5.20
DB015,Saus sambal,0.00,180.00,0.00,0.00,44.67,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,43.33
DB016,Kecap manis,0.00,204.55,4.55,0.45,50.00,0.45,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,45.45
DB017,Mayonnaise,0.00,103.00,0.00,11.67,0.04,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.40
DB018,Saus tomat,0.00,100.00,1.06,0.12,27.41,0.59,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,21.29
DB019,Kecap asin,0.00,50.00,8.13,0.56,4.94,6.25,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.38
DB020,Mustard,0.00,60.00,3.73,3.33,5.80,4.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.93
DB021,LEE KUM SEE char siu chinese bbq,0.00,272.73,0.00,0.00,63.64,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,59.09
DB022,LEE KUM SEE curry,0.00,241.38,3.45,15.52,24.14,3.45,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,17.24
DB023,LEE KUM SEE black pepper,0.00,138.89,0.00,2.78,27.78,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,16.67
DB024,LEE KUM SEE black bean,0.00,166.67,0.00,5.56,22.22,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,11.11
DB025,LEE KUM SEE hoisin,0.00,238.10,2.38,1.19,52.38,2.38,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,50.00
DB026,SAMBAL CUK original cabe,0.00,400.00,2.50,32.50,22.50,10.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,7.50
DB027,SAMBAL CUK korek bebek madura,0.00,425.00,5.00,35.00,25.00,17.50,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,7.50
DB028,ABC sambal asli,0.00,311.11,0.00,0.00,66.67,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,55.56
DB029,SAMBAL CUK ikan roa asap,0.00,550.00,10.00,50.00,17.50,7.50,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,10.00
DB030,SAMBAL CUK ijo teri medan,0.00,475.00,5.00,42.50,22.50,10.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,12.50
DB031,KOKITA sambal terasi,0.00,200.00,6.67,6.67,33.33,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,6.67
